variable,category,count,share
race,White,4659,0.44669223394055607
race,Black,2486,0.23835091083413232
race,Hispanic,1717,0.16462128475551294
race,Unknown,1188,0.11390220517737296
race,Asian,184,0.017641418983700863
race,Native,146,0.013998082454458294
race,Other,37,0.003547459252157239
race,Multiracial,13,0.0012464046021093001
was_mental_illness_related,0,8373,0.8027804410354746
was_mental_illness_related,1,2057,0.19721955896452542
