display_record,year,state,armed_with,threat_type,flee_status,body_camera,median_income,poverty_rate,unemployment_rate,gini_index,bachelor_plus_rate,less_than_highschool_rate,population_density,land_area_sqmi,primary_cluster,profile_name
Incident record 00028,2015,MO,Missing,Attack,Not Fleeing,0,48480.0,0.1186848356541531,0.0718359352497263,0.4301,0.1860360946147066,0.1341916280145072,110.36064351392244,922.684,1,"Lower-income rural, older/White-composition profile"
Incident record 00029,2015,VA,Gun,Shoot,Not Fleeing,0,67491.0,0.0990251185666608,0.0535482854040421,0.3993,0.3183000756963748,0.0827189628960542,695.5970643155979,338.456,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00030,2015,NJ,Knife,Attack,Not Fleeing,0,78643.0,0.0853893576802856,0.0548370868675051,0.4387,0.4145485123794992,0.1170330813509952,2719.141670870358,309.252,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00031,2015,TX,Gun,Point,Not Fleeing,0,71251.0,0.1050110095816359,0.0560168618050006,0.4409,0.304347440215486,0.1362896104299515,254.0274014403434,1363.286,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00032,2015,UT,Knife,Attack,Not Fleeing,1,65694.0,0.1043101091084674,0.0381967918382398,0.4302,0.3304434792215419,0.0986867735389374,1470.8256071578478,752.852,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00033,2015,IN,Gun,Shoot,Foot,0,41226.0,0.2078721789963629,0.079663810822361,0.481,0.2924179391763923,0.1520232538858082,2371.28657865231,395.996,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00034,2015,CO,Gun,Point,Not Fleeing,0,67002.0,0.0911018341199189,0.0517114889997116,0.4633,0.410357784752876,0.0694502504658594,790.9591207777543,797.887,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00035,2015,MN,Gun,Point,Not Fleeing,0,68935.0,0.1081495169508752,0.0445457576869943,0.4838,0.4827432392779728,0.0744685130671008,2207.774462608684,554.019,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00036,2015,CA,Knife,Threat,Not Fleeing,0,67443.0,0.1207679162033892,0.0869384869196323,0.425,0.2569285704624457,0.1244031758484032,530.6959899529776,821.736,1,"Lower-income rural, older/White-composition profile"
Incident record 00037,2015,LA,Gun,Point,Not Fleeing,0,30009.0,0.2660713718262417,0.104129263913824,0.4986,0.1260049902966454,0.3057018759818871,50.9758752232308,662.431,1,"Lower-income rural, older/White-composition profile"
Incident record 00038,2015,TX,Gun,Shoot,Vehicle,0,44002.0,0.1691303845709666,0.060886005242126,0.4612,0.1545157481396051,0.1837328720103248,62.58930987500178,842.572,1,"Lower-income rural, older/White-composition profile"
Incident record 00039,2015,CA,Knife,Threat,Not Fleeing,0,81717.0,0.1136697308050778,0.0530036375822361,0.463,0.4512390607588729,0.1245552967785903,2221.4319711333105,737.459,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00040,2015,OK,Gun,Point,Foot,1,41016.0,0.2127975964675356,0.0575754306469594,0.4937,0.1788212223553764,0.1773395794748883,85.98021316490674,810.64,1,"Lower-income rural, older/White-composition profile"
Incident record 00041,2015,CA,Gun,Point,Not Fleeing,0,59134.0,0.1664485773538878,0.0717382754447437,0.4992,0.3084713213136524,0.2190543804221724,2504.841322734981,4060.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00042,2015,TX,Knife,Attack,Not Fleeing,0,60737.0,0.1314649363588148,0.0502236224291243,0.468,0.3077714657817373,0.1462010911628798,2290.9411530870248,865.364,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00043,2015,AZ,Gun,Point,Not Fleeing,0,50770.0,0.1578365046923438,0.0956151156983519,0.4276,0.1746101810482496,0.1618309378981177,75.76084791389532,5366.677,1,"Lower-income rural, older/White-composition profile"
Incident record 00044,2015,KY,Gun,Point,Not Fleeing,0,28500.0,0.286494499492861,0.122214234363767,0.4697,0.0850538599640933,0.3102558348294434,42.07908754615926,308.443,1,"Lower-income rural, older/White-composition profile"
Incident record 00045,2015,MA,Knife,Attack,Not Fleeing,0,94039.0,0.0706533276722216,0.0541950541873933,0.4755,0.5100294614787563,0.0616673426404979,1757.1767949245525,396.103,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00046,2015,AZ,Missing,Threat,Vehicle,0,56004.0,0.1628234085543816,0.0559824904384855,0.4716,0.3064198312343983,0.1324863208850896,452.9384647885855,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00047,2015,CA,Gun,Shoot,Not Fleeing,0,58292.0,0.1618348925391292,0.0956825911826787,0.4492,0.2073441351069147,0.1963356988903278,327.4993501408051,7209.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00048,2015,TX,Gun,Shoot,Foot,0,26172.0,0.3659099715835701,0.1384628004265441,0.5023,0.0910220475626318,0.5372034559482186,51.217360664301786,1223.179,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00049,2015,MO,Gun,Point,Not Fleeing,0,38397.0,0.2491662541361611,0.0951182208256711,0.5099,0.3472402412655058,0.1418049391146011,5114.792611795204,61.72,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00050,2015,NH,Gun,Shoot,Not Fleeing,0,81198.0,0.0546075085324232,0.0564366094926944,0.419,0.3876953996271617,0.0527749212297087,429.9590612413345,695.429,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00051,2015,TX,Replica,Point,Vehicle,0,26384.0,0.4028387968908415,0.0570247933884297,0.4948,0.0822162645218945,0.4870420017873101,0.7285827839607643,4570.517,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00052,2015,TX,Knife,Threat,Not Fleeing,0,47639.0,0.1822863458994155,0.0589734008220946,0.4592,0.2045852026461866,0.158885255874078,450.5742921940157,273.38,1,"Lower-income rural, older/White-composition profile"
Incident record 00053,2015,FL,Missing,Threat,Not Fleeing,0,53926.0,0.138880743212138,0.0783967117651774,0.4788,0.3222409558818563,0.1175958586856774,1576.544184886524,1202.9,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00054,2015,TX,Knife,Threat,Not Fleeing,0,50665.0,0.1460853382958926,0.0642769928484214,0.437,0.1572899041173152,0.222433728144388,25.673938123629444,908.392,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00055,2015,TX,Gun,Point,Not Fleeing,0,65269.0,0.133203060966947,0.0419034006135189,0.4937,0.4715414945195917,0.1165078826066997,1183.2873551889595,994.313,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00056,2015,ID,Gun,Shoot,Not Fleeing,0,32233.0,0.3565423582668678,0.1020124527462753,0.5057,0.3481097677988869,0.0459924518646453,80.79835147155032,469.267,1,"Lower-income rural, older/White-composition profile"
Incident record 00057,2015,MD,Knife,Threat,Not Fleeing,0,44165.0,0.2286317141108766,0.1007400033184005,0.5192,0.2988000310397614,0.1533481791182356,7682.269661255652,80.946,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00058,2015,TX,Gun,Shoot,Not Fleeing,0,60737.0,0.1314649363588148,0.0502236224291243,0.468,0.3077714657817373,0.1462010911628798,2290.9411530870248,865.364,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00059,2015,CO,Gun,Shoot,Vehicle,0,40050.0,0.2008039960743853,0.0970345578006418,0.4748,0.2160260468481505,0.1277019082933888,68.54588825651317,2386.591,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00060,2015,NJ,Gun,Point,Not Fleeing,0,65025.0,0.1317356837280518,0.0741386194774807,0.459,0.3195860329109569,0.1121810675993349,2308.067255741674,221.364,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00061,2015,CO,Vehicle,Threat,Not Fleeing,0,58003.0,0.1558755146199092,0.0448562677022056,0.4927,0.47108196423146,0.1419270698774163,4458.921828658034,153.074,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00062,2015,MN,Gun,Shoot,Not Fleeing,0,68935.0,0.1081495169508752,0.0445457576869943,0.4838,0.4827432392779728,0.0744685130671008,2207.774462608684,554.019,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00063,2015,TX,Unarmed,Flee,Vehicle,0,39526.0,0.1931540342298288,0.1090976331360946,0.4744,0.1646778042959427,0.2261999469636701,6.462847038852206,891.867,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00064,2015,CA,Knife,Threat,Not Fleeing,0,51342.0,0.2187720677075391,0.1102775074159461,0.4609,0.1618622968201225,0.2664565050694385,108.44639975079517,8134.673,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00065,2015,NE,Knife,Attack,Not Fleeing,0,58359.0,0.1479917438357692,0.0383706583284036,0.479,0.3804263962808862,0.0956459771791857,1684.486459835797,326.547,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00066,2015,AZ,Missing,Threat,Not Fleeing,0,56004.0,0.1628234085543816,0.0559824904384855,0.4716,0.3064198312343983,0.1324863208850896,452.9384647885855,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00067,2015,AZ,Gun,Shoot,Not Fleeing,0,51628.0,0.1368551475557558,0.1000537923614846,0.3955,0.1078257790368271,0.1432365439093484,4.896252410683956,1842.838,1,"Lower-income rural, older/White-composition profile"
Incident record 00068,2015,OH,Gun,Shoot,Not Fleeing,0,53882.0,0.1711650078343963,0.0592847015072184,0.4759,0.3850626327767979,0.0955151349018278,2351.009261502689,532.419,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00069,2015,TX,Gun,Shoot,Not Fleeing,0,46172.0,0.1501304121022431,0.0662183724640984,0.4536,0.1583357835930608,0.1762716847985886,20.923702285730247,930.906,1,"Lower-income rural, older/White-composition profile"
Incident record 00070,2015,CA,Blunt Object,Attack,Not Fleeing,0,53705.0,0.1738631640436311,0.1113207547169811,0.452,0.1882603829316591,0.2190366440828382,521.5387024344975,1392.238,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00071,2015,TX,Gun,Shoot,Not Fleeing,0,95389.0,0.0663404161806717,0.0423633289498403,0.4255,0.4509571159490122,0.0960138420430154,830.9346298670782,861.785,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00072,2015,MI,Gun,Shoot,Not Fleeing,0,54340.0,0.1457307447353593,0.0531860090736133,0.4707,0.3404844406983976,0.1024399732013572,749.6121592920979,848.931,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00073,2015,OK,Unarmed,Move,Foot,0,37667.0,0.2592067988668555,0.0627627857197462,0.5094,0.3691377769415306,0.0868102921115762,115.96274498066144,684.901,1,"Lower-income rural, older/White-composition profile"
Incident record 00074,2015,MT,Gun,Point,Foot,0,58026.0,0.091697169430369,0.0315245103369944,0.4405,0.2978495425153271,0.060870618489462,59.636971215918585,2633.4,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00075,2015,TX,Gun,Point,Not Fleeing,0,56629.0,0.1666583627011969,0.0570292543414617,0.4983,0.2986688089972312,0.1996737751507066,2658.03309107778,1707.288,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00076,2015,MD,Knife,Threat,Not Fleeing,0,68775.0,0.0915263313094772,0.0523485705092327,0.4558,0.3794353290323029,0.0903755032396732,1389.0146032976916,598.358,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00077,2015,PA,Unarmed,Flee,Foot,0,54232.0,0.1405400764498596,0.0603986636029152,0.4258,0.2843052162359093,0.1073678796451073,520.0964048240517,524.87,1,"Lower-income rural, older/White-composition profile"
Incident record 00078,2015,CA,Gun,Shoot,Not Fleeing,0,53803.0,0.1904501507554268,0.0954260082285851,0.4445,0.1940794100432395,0.2110833165709065,106.04521080575022,20068.167,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 00079,2015,MI,Gun,Shoot,Not Fleeing,0,45583.0,0.1500997245702346,0.0966098026484072,0.4366,0.1829182158610855,0.1067444928637108,241.17502130381607,442.409,1,"Lower-income rural, older/White-composition profile"
Incident record 00080,2015,MO,Gun,Point,Foot,0,61516.0,0.1013891077282777,0.0522696269109018,0.4886,0.4179966564663824,0.0693537377582127,1975.141487613067,507.995,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00081,2015,CA,Gun,Point,Vehicle,0,81717.0,0.1136697308050778,0.0530036375822361,0.463,0.4512390607588729,0.1245552967785903,2221.4319711333105,737.459,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00082,2015,CA,Knife,Threat,Not Fleeing,0,83104.0,0.1025533617428056,0.063977513770197,0.4709,0.4019078455014136,0.1114057562780641,1571.6971894149367,716.897,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 00083,2015,GA,Gun,Point,Not Fleeing,0,33965.0,0.2546201756177251,0.0832139446036294,0.5,0.1365714494714897,0.2258878607219926,72.60966248993245,592.249,1,"Lower-income rural, older/White-composition profile"
Incident record 00084,2015,FL,Unarmed,Attack,Not Fleeing,0,46002.0,0.2234746242489544,0.0897837578087458,0.4889,0.4410317039038749,0.0695845196158857,428.276493504162,668.428,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00085,2015,FL,Gun,Point,Not Fleeing,0,50720.0,0.1564267309172439,0.0606244672545073,0.4841,0.3212399301362016,0.1134642440031815,1426.4455744646923,903.032,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 00086,2015,AZ,Gun,Point,Vehicle,0,56004.0,0.1628234085543816,0.0559824904384855,0.4716,0.3064198312343983,0.1324863208850896,452.9384647885855,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
