display_record,year,state,armed_with,threat_type,flee_status,body_camera,median_income,poverty_rate,unemployment_rate,gini_index,bachelor_plus_rate,less_than_highschool_rate,population_density,land_area_sqmi,primary_cluster,profile_name
Incident record 02176,2017,CO,Gun,Point,Not Fleeing,0,66517.0,0.1043601166873794,0.0385411536424871,0.3925,0.228755186082021,0.1595971436062742,431.239672538036,1166.792,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02177,2017,FL,Gun,Shoot,Missing,0,50283.0,0.1535107240040789,0.0638590439788379,0.4521,0.2235301608525743,0.1085376821629537,237.4265444450596,758.622,1,"Lower-income rural, older/White-composition profile"
Incident record 02178,2017,CA,Unarmed,Move,Missing,0,96296.0,0.0921901538386344,0.0469215912634798,0.4571,0.4642634923895614,0.1200353464572476,2255.298260649067,737.459,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02179,2017,MN,Gun,Threat,Not Fleeing,0,61962.0,0.1388898244511056,0.0442912930573084,0.4656,0.4239526498922741,0.1053468718431664,3599.006942209553,152.257,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02180,2017,AZ,Missing,Threat,Vehicle,0,62223.0,0.1340765181505641,0.0504277516233392,0.4626,0.3225057567247901,0.1240729543553515,468.0531961691873,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02181,2017,MI,Gun,Shoot,Not Fleeing,0,60380.0,0.1129951056186567,0.0552675802452143,0.4275,0.2479064895971957,0.1050721509770801,1817.8262230103264,479.35,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02182,2017,WI,Gun,Threat,Not Fleeing,1,47591.0,0.1890973091835461,0.0527199945044308,0.4739,0.3067391879873748,0.1134855097391737,3943.083033417959,241.457,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02183,2017,NC,Gun,Point,Not Fleeing,0,43759.0,0.1856565472008971,0.0766473076647307,0.4483,0.2392542422256208,0.0935790061418202,509.5974966516797,652.566,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02184,2017,FL,Gun,Point,Not Fleeing,0,46901.0,0.151296155587936,0.0456449583203128,0.4593,0.2269553212851405,0.103953313253012,489.22366035912654,1101.116,1,"Lower-income rural, older/White-composition profile"
Incident record 02185,2017,TN,Missing,Attack,Not Fleeing,1,39692.0,0.1769700371903726,0.0594090202177294,0.4493,0.1300994519991881,0.2079358636086868,54.81154529842427,265.528,1,"Lower-income rural, older/White-composition profile"
Incident record 02186,2017,TX,Knife,Point,Not Fleeing,0,56413.0,0.165449773323789,0.0568169473112438,0.4273,0.2377738234030803,0.1304534576915997,26.948371289794864,790.994,1,"Lower-income rural, older/White-composition profile"
Incident record 02187,2017,ME,Knife,Threat,Not Fleeing,0,39021.0,0.174719353390211,0.0525243661662853,0.4557,0.1850278579049274,0.1235033785118741,10.319026401957558,6671.172,1,"Lower-income rural, older/White-composition profile"
Incident record 02188,2017,TN,Replica,Point,Not Fleeing,0,49647.0,0.1879379338594244,0.0699304150421951,0.5152,0.3175244272100073,0.1108283925414391,1244.6942202336986,752.764,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02189,2017,CA,Knife,Threat,Not Fleeing,0,49061.0,0.1829613075203963,0.0719320066334991,0.4912,0.2661067762622351,0.1021700716739134,140.11140767681508,1636.512,1,"Lower-income rural, older/White-composition profile"
Incident record 02190,2017,KS,Gun,Shoot,Not Fleeing,0,53923.0,0.1404669768766915,0.057630103163818,0.4487,0.310277040552226,0.1009362348935253,515.232181311754,997.001,1,"Lower-income rural, older/White-composition profile"
Incident record 02191,2017,ID,Gun,Shoot,Not Fleeing,0,60858.0,0.1138042164630052,0.0311092866574127,0.4829,0.3611664624176367,0.0570066085667569,434.1771381975978,1052.218,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02192,2017,GA,Missing,Move,Vehicle,0,40652.0,0.1897897458412605,0.0722515856236786,0.484,0.1268990825688073,0.2329908256880734,133.54385512663532,310.34,1,"Lower-income rural, older/White-composition profile"
Incident record 02193,2017,MO,Gun,Point,Vehicle,0,64784.0,0.0999175059045431,0.0498762546404509,0.4905,0.4277334791786938,0.065560962058503,1962.07836691306,507.995,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02194,2017,FL,Unarmed,Accident,Not Fleeing,0,49009.0,0.127035141589901,0.0817049180327868,0.5189,0.2782786339210374,0.1155304880756761,294.4584949249134,502.553,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02195,2017,FL,Gun,Point,Foot,0,52540.0,0.1234833316734265,0.0416817934289344,0.4614,0.299982809402111,0.0808416516726451,580.4740449689498,1014.967,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02196,2017,FL,Gun,Threat,Vehicle,0,46901.0,0.151296155587936,0.0456449583203128,0.4593,0.2269553212851405,0.103953313253012,489.22366035912654,1101.116,1,"Lower-income rural, older/White-composition profile"
Incident record 02197,2017,CA,Knife,Attack,Not Fleeing,0,63944.0,0.1290351651161377,0.077782090684476,0.4586,0.2218520909510772,0.1765060486906198,336.1326983346682,7209.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02198,2017,MN,Gun,Shoot,Missing,0,55393.0,0.1236933797909407,0.0359703487665572,0.4295,0.2451847995835502,0.0872178316217879,16.0142141117271,1970.999,1,"Lower-income rural, older/White-composition profile"
Incident record 02199,2017,KY,Knife,Threat,Not Fleeing,0,22736.0,0.3297727272727273,0.1246478873239436,0.5347,0.15702746365105,0.298546042003231,22.78092420542852,197.402,1,"Lower-income rural, older/White-composition profile"
Incident record 02200,2017,LA,Gun,Shoot,Not Fleeing,0,40492.0,0.2154448979591836,0.0888135098661414,0.4683,0.1220112954992162,0.2235215087204239,95.54761279767536,655.244,1,"Lower-income rural, older/White-composition profile"
Incident record 02201,2017,WI,Gun,Shoot,Missing,0,56509.0,0.1031227741330834,0.03827324118904,0.441,0.2451296954041545,0.082251641373372,87.55479738396285,1545.238,1,"Lower-income rural, older/White-composition profile"
Incident record 02202,2017,WA,Knife,Threat,Not Fleeing,0,89675.0,0.0926132216801751,0.0430676014252702,0.467,0.5151439138948257,0.0712153013297157,1034.4817970067534,2115.696,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02203,2017,AR,Knife,Attack,Vehicle,0,49968.0,0.1444170679807369,0.0866151244261899,0.4633,0.189967897271268,0.0991974317817014,28.606335299926567,631.888,1,"Lower-income rural, older/White-composition profile"
Incident record 02204,2017,AZ,Knife,Attack,Not Fleeing,0,62223.0,0.1340765181505641,0.0504277516233392,0.4626,0.3225057567247901,0.1240729543553515,468.0531961691873,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02205,2017,MD,Knife,Threat,Not Fleeing,1,47131.0,0.2224063628120532,0.0756999339362598,0.5102,0.3059233808784997,0.1566248400448109,7556.247374793072,80.946,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02206,2017,CA,Gun,Shoot,Not Fleeing,0,42512.0,0.2087217417812505,0.1014279793526996,0.4513,0.1436921578178275,0.1596270266508941,21.44593486162223,2949.137,1,"Lower-income rural, older/White-composition profile"
Incident record 02207,2017,TX,Gun,Threat,Foot,0,32135.0,0.1740858047797293,0.0571701459953608,0.5227,0.12722483837497,0.1704046611860483,19.727838291736283,926.508,1,"Lower-income rural, older/White-composition profile"
Incident record 02208,2017,CA,Gun,Threat,Foot,0,65006.0,0.1486711606134172,0.0595008664357935,0.4991,0.3226818980379775,0.20700206567278,2503.1702450142284,4060.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02209,2017,CA,Gun,Shoot,Not Fleeing,0,52439.0,0.1769673834096245,0.0425435675784342,0.4766,0.2301493788402381,0.0936523877681741,47.65297428178611,3775.651,1,"Lower-income rural, older/White-composition profile"
Incident record 02210,2017,AR,Gun,Point,Foot,0,52450.0,0.1477983114228343,0.0505698042080206,0.4976,0.3473123019905553,0.0885699982067069,519.4779849914751,758.369,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02211,2017,AK,Gun,Attack,Vehicle,0,69121.0,0.1193320156970582,0.0898816153116363,0.4342,0.2186897738808056,0.0850631868536036,4.311756177335847,24707.334,1,"Lower-income rural, older/White-composition profile"
Incident record 02212,2017,FL,Unarmed,Attack,Not Fleeing,0,60057.0,0.11685284085036,0.0587917568041729,0.5182,0.3620285953022003,0.1126162844675517,748.9360185713123,1964.32,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02213,2017,TN,Gun,Shoot,Not Fleeing,0,46837.0,0.1346867007672634,0.0651796447175103,0.4283,0.1343071057829222,0.1469845206926645,84.57047584043126,375.462,1,"Lower-income rural, older/White-composition profile"
Incident record 02214,2017,MS,Gun,Shoot,Vehicle,0,43198.0,0.2111408122790377,0.1139026007514919,0.458,0.2361369604568748,0.1532264232720597,117.82650671055964,505.472,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02215,2017,MD,Knife,Threat,Not Fleeing,1,103235.0,0.0694574945189687,0.0454606432572022,0.4615,0.57845540008595,0.0901842706132239,2147.056139674944,493.145,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02216,2017,IN,Gun,Point,Vehicle,0,56188.0,0.1017882400484946,0.051842972729997,0.3857,0.162340930332878,0.1135955136961679,53.71482302370877,372.225,1,"Lower-income rural, older/White-composition profile"
Incident record 02217,2017,MI,Gun,Point,Not Fleeing,0,44882.0,0.1470702702702702,0.080184512709785,0.4263,0.2051860823607135,0.094417529178595,45.05047711243258,542.325,1,"Lower-income rural, older/White-composition profile"
Incident record 02218,2017,TN,Gun,Threat,Not Fleeing,0,50273.0,0.1453542579796272,0.0591111661302302,0.4854,0.3046742278382707,0.1133204976782565,654.0253502630201,542.164,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02219,2017,IL,Gun,Shoot,Vehicle,0,55532.0,0.0759018494781175,0.0433493240296554,0.4441,0.234980382540461,0.0798798430603236,36.68683560649932,600.924,1,"Lower-income rural, older/White-composition profile"
Incident record 02220,2017,OK,Gun,Point,Vehicle,0,62081.0,0.0950607761257547,0.0378233817268857,0.4155,0.2409681792806444,0.1151208230321397,66.4406363891225,570.72,1,"Lower-income rural, older/White-composition profile"
Incident record 02221,2017,DE,Unclear Weapon Information,Threat,Vehicle,0,66647.0,0.1412712361948579,0.0585478798514919,0.49,0.3519068274508482,0.0761745740783472,1313.0262843096325,426.338,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02222,2017,KY,Gun,Shoot,Not Fleeing,0,51681.0,0.119946832890274,0.0628845457835685,0.3976,0.2004504504504504,0.1177133015368309,108.8549391871848,202.26,1,"Lower-income rural, older/White-composition profile"
Incident record 02223,2017,TX,Missing,Threat,Vehicle,0,47875.0,0.1484602917341977,0.0517046258310935,0.4355,0.1622812539342817,0.1483486508036426,38.48445051421568,877.939,1,"Lower-income rural, older/White-composition profile"
Incident record 02224,2017,NJ,Missing,Move,Vehicle,0,85337.0,0.0863679765417572,0.0475343086881925,0.4317,0.4451439189305438,0.099015880116305,2725.2790604426164,309.252,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02225,2017,FL,Gun,Shoot,Foot,0,48631.0,0.1584966769002395,0.0553542166708596,0.448,0.2648740117171947,0.0985059628765902,477.1893935588747,656.997,1,"Lower-income rural, older/White-composition profile"
Incident record 02226,2017,LA,Knife,Threat,Missing,0,44504.0,0.2036503229025194,0.1115930137146876,0.4791,0.1268944204555075,0.2145880958428583,127.61596548004314,574.74,1,"Lower-income rural, older/White-composition profile"
Incident record 02227,2017,SC,Gun,Threat,Not Fleeing,1,45551.0,0.155756656379139,0.0673516976855685,0.447,0.2075881085479229,0.1560338722557897,272.0080016361889,713.854,1,"Lower-income rural, older/White-composition profile"
Incident record 02228,2017,CA,Unarmed,Move,Foot,0,49854.0,0.2144361293499862,0.0939570095984858,0.4595,0.1604260033884119,0.2680550921120794,109.79162899356864,8134.673,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02229,2017,TX,Missing,Attack,Vehicle,0,58645.0,0.1609140202538332,0.0616978086562988,0.4997,0.3073904263988472,0.189463848310437,2725.363266185904,1707.288,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02230,2017,CA,Gun,Shoot,Vehicle,0,86562.0,0.0561167553152944,0.0437868414792101,0.4583,0.3617437686332569,0.1414910661772162,187.4703281359088,751.975,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02231,2017,IN,Gun,Shoot,Vehicle,0,58960.0,0.1029322718654768,0.0399227430209868,0.4184,0.2020732964952515,0.1940386953777955,442.6826266630394,463.158,1,"Lower-income rural, older/White-composition profile"
Incident record 02232,2017,AR,Missing,Move,Missing,0,52450.0,0.1477983114228343,0.0505698042080206,0.4976,0.3473123019905553,0.0885699982067069,519.4779849914751,758.369,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02233,2017,OH,Replica,Point,Not Fleeing,0,59227.0,0.1593947882162992,0.0447242739170684,0.4588,0.3867777592081929,0.0906207347984735,2426.6245194104645,532.419,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02234,2017,OH,Gun,Attack,Not Fleeing,0,61137.0,0.0832063395306309,0.0479280270545784,0.4188,0.2722589377164317,0.0794517875432863,1001.3339436343424,229.395,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02235,2017,FL,Gun,Shoot,Not Fleeing,0,55268.0,0.102177207490181,0.049570841781138,0.4645,0.3202296819787986,0.0919180045073871,519.104369905838,742.762,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02236,2017,FL,Gun,Shoot,Not Fleeing,0,51512.0,0.1196814431211885,0.0543223617294449,0.4854,0.3132096257143163,0.0889598589057692,3545.200866360592,273.789,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02237,2017,NJ,Gun,Shoot,Not Fleeing,0,60430.0,0.1575222920255345,0.0771812640895048,0.5511,0.3558318151097528,0.1477292762481267,6410.737371414069,126.083,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02238,2017,SD,Gun,Shoot,Vehicle,0,27804.0,0.518871925360475,0.2269452449567723,0.502,0.124111993313832,0.2437665413010168,6.826038008197359,2093.601,1,"Lower-income rural, older/White-composition profile"
Incident record 02239,2017,WI,Knife,Threat,Not Fleeing,0,52178.0,0.1446194279194849,0.0399986231110805,0.4361,0.3032279201834719,0.0681467151348737,160.50238116885762,637.922,1,"Lower-income rural, older/White-composition profile"
Incident record 02240,2017,CA,Knife,Attack,Not Fleeing,0,82857.0,0.0933243582392195,0.0519917706637728,0.4535,0.3343895538628944,0.1485231773667029,464.05491150490553,1840.78,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02241,2017,CA,Gun,Threat,Not Fleeing,0,60420.0,0.1615874436506409,0.0817313569059512,0.4343,0.2050284509110403,0.2007794084184062,107.50378945919674,20068.167,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02242,2017,OH,Gun,Threat,Not Fleeing,0,46784.0,0.1797274833440228,0.0727580925341352,0.5145,0.3263013567372602,0.0977651592061706,2730.7113549075702,457.212,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02243,2017,TX,Gun,Threat,Foot,1,58645.0,0.1609140202538332,0.0616978086562988,0.4997,0.3073904263988472,0.189463848310437,2725.363266185904,1707.288,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02244,2017,CA,Gun,Threat,Not Fleeing,0,65006.0,0.1486711606134172,0.0595008664357935,0.4991,0.3226818980379775,0.20700206567278,2503.1702450142284,4060.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02245,2017,AZ,Missing,Threat,Not Fleeing,0,62223.0,0.1340765181505641,0.0504277516233392,0.4626,0.3225057567247901,0.1240729543553515,468.0531961691873,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02246,2017,KS,Gun,Shoot,Vehicle,0,46624.0,0.1603312678741658,0.0516022907274278,0.4282,0.2031135767427858,0.0999010880316518,31.74095571083147,1125.738,1,"Lower-income rural, older/White-composition profile"
Incident record 02247,2017,CT,Gun,Threat,Missing,0,70429.0,0.1100433083704725,0.0607449796228646,0.4642,0.3775826636280037,0.1067098476670265,1218.326024277043,734.933,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02248,2017,WA,Gun,Threat,Vehicle,0,69278.0,0.100039650747841,0.0507648069850583,0.4198,0.2601745639714744,0.0834238812598847,525.636629168755,1668.004,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02249,2017,ND,Knife,Threat,Not Fleeing,0,65385.0,0.0787631668365613,0.0238633793259443,0.4573,0.260877835370203,0.082790432260212,15.60786504718862,1925.888,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02250,2017,NJ,Gun,Shoot,Not Fleeing,0,64233.0,0.1678248164777991,0.0477664425380632,0.4646,0.2788890589495744,0.1595064577274921,2753.997163303462,186.132,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02251,2017,AR,Gun,Point,Missing,0,38558.0,0.2351608984785159,0.0841273425152404,0.4501,0.1691743827160493,0.1861496913580247,80.54435022523259,611.812,1,"Lower-income rural, older/White-composition profile"
Incident record 02252,2017,CA,Knife,Threat,Not Fleeing,0,86217.0,0.1146927907904918,0.0424205563941484,0.4649,0.402811088181159,0.150028939286018,4023.877901337804,792.867,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02253,2017,OH,Gun,Point,Not Fleeing,0,43017.0,0.1980545401067271,0.0743260441976165,0.4335,0.13376,0.1427781818181818,140.4037772434323,702.417,1,"Lower-income rural, older/White-composition profile"
Incident record 02254,2017,CA,Unarmed,Move,Foot,1,51800.0,0.2110787801517613,0.081978147488835,0.479,0.2039445683307232,0.2369189509854026,166.02188238745393,5958.582,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02255,2017,MN,Gun,Threat,Not Fleeing,0,61962.0,0.1388898244511056,0.0442912930573084,0.4656,0.4239526498922741,0.1053468718431664,3599.006942209553,152.257,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02256,2017,TN,Missing,Move,Vehicle,0,37654.0,0.1758470493003893,0.0925270135294651,0.458,0.1234322011088981,0.1734941056144695,70.07045805701422,376.678,1,"Lower-income rural, older/White-composition profile"
Incident record 02257,2017,WV,Missing,Attack,Vehicle,0,39554.0,0.1865756541524459,0.0495118549511854,0.468,0.1390394318818912,0.1840777424780414,10.255010415918395,696.05,1,"Lower-income rural, older/White-composition profile"
Incident record 02258,2017,DE,Gun,Point,Vehicle,1,66647.0,0.1412712361948579,0.0585478798514919,0.49,0.3519068274508482,0.0761745740783472,1313.0262843096325,426.338,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02259,2017,OK,Gun,Point,Not Fleeing,0,59133.0,0.1319457137634801,0.0482931269913518,0.4471,0.2799583655105261,0.0953564113756169,60.94366818333387,743.736,1,"Lower-income rural, older/White-composition profile"
Incident record 02260,2017,WA,Gun,Shoot,Missing,0,89675.0,0.0926132216801751,0.0430676014252702,0.467,0.5151439138948257,0.0712153013297157,1034.4817970067534,2115.696,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02261,2017,TX,Knife,Threat,Missing,0,54175.0,0.1569157552243804,0.0540572060164658,0.4702,0.2778864250323274,0.1531136773912709,1579.0399561417655,1240.36,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02262,2017,SC,Gun,Shoot,Not Fleeing,0,39740.0,0.2259526108593924,0.1065075600355766,0.434,0.1482177339387297,0.2117321642920515,41.922657162264265,655.135,1,"Lower-income rural, older/White-composition profile"
Incident record 02263,2017,AZ,Missing,Threat,Vehicle,0,62223.0,0.1340765181505641,0.0504277516233392,0.4626,0.3225057567247901,0.1240729543553515,468.0531961691873,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02264,2017,AZ,Unarmed,Accident,Vehicle,0,62223.0,0.1340765181505641,0.0504277516233392,0.4626,0.3225057567247901,0.1240729543553515,468.0531961691873,9202.016,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02265,2017,OR,Gun,Threat,Not Fleeing,0,79878.0,0.0834722008109371,0.0367613033181805,0.4426,0.3841307965482338,0.0583403386573796,220.5963401081193,1870.711,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02266,2017,CA,Multiple Weapons,Shoot,Foot,0,55062.0,0.1199479308824455,0.0696745132229003,0.4101,0.1682664453595979,0.2104661541111441,160.35945153112016,602.696,1,"Lower-income rural, older/White-composition profile"
Incident record 02267,2017,IN,Missing,Threat,Not Fleeing,0,65979.0,0.1100304584704577,0.0573957975325614,0.4291,0.2747919708671252,0.0770455465052864,400.3487095593775,418.113,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02268,2017,OH,Knife,Threat,Not Fleeing,0,64023.0,0.1053929121725731,0.0433977513376369,0.4312,0.2929241933564008,0.0816638140153427,815.8434008694235,466.516,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02269,2017,AZ,Gun,Shoot,Not Fleeing,0,50041.0,0.1414469417421447,0.0600092703381517,0.4406,0.2366636540877285,0.0923440706193976,28.08936477616703,8122.932,1,"Lower-income rural, older/White-composition profile"
Incident record 02270,2017,PA,Gun,Shoot,Not Fleeing,0,63519.0,0.0948188725518284,0.0487576838302174,0.4141,0.2526344918125625,0.1034812295474948,493.25705035207534,904.352,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02271,2017,TX,Gun,Threat,Foot,1,58645.0,0.1609140202538332,0.0616978086562988,0.4997,0.3073904263988472,0.189463848310437,2725.363266185904,1707.288,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02272,2017,OR,Knife,Threat,Not Fleeing,0,40705.0,0.1860206037374221,0.0899534464634329,0.4802,0.1760502172863351,0.108659262835989,51.57541364868255,1638.649,1,"Lower-income rural, older/White-composition profile"
Incident record 02273,2017,TX,Gun,Shoot,Not Fleeing,0,52479.0,0.1397960244058134,0.0656804426318933,0.4129,0.2693770622747544,0.0808506794214695,330.0636911246152,1053.836,1,"Lower-income rural, older/White-composition profile"
Incident record 02274,2017,NJ,Gun,Threat,Vehicle,0,60430.0,0.1575222920255345,0.0771812640895048,0.5511,0.3558318151097528,0.1477292762481267,6410.737371414069,126.083,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02275,2017,TX,Gun,Point,Missing,1,65052.0,0.1160314324216248,0.0458758745027337,0.4471,0.3144215932645141,0.1483576826540595,2374.116556732196,865.364,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02276,2017,CA,Missing,Move,Vehicle,0,65006.0,0.1486711606134172,0.0595008664357935,0.4991,0.3226818980379775,0.20700206567278,2503.1702450142284,4060.254,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02277,2017,GA,Knife,Threat,Not Fleeing,0,38183.0,0.2674684916655373,0.1037512573220519,0.5239,0.2535069939192036,0.149190230588613,617.2152873291283,249.383,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02278,2017,FL,Other,Threat,Not Fleeing,0,52062.0,0.1506014181150297,0.0614777330447987,0.4746,0.2942072125424679,0.100607798522582,1229.8789834557836,762.623,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02279,2017,PA,Gun,Threat,Not Fleeing,0,46286.0,0.1346698579302167,0.0419304523350766,0.4101,0.1220082446317602,0.1567402940995508,113.01172400538152,411.037,1,"Lower-income rural, older/White-composition profile"
Incident record 02280,2017,OH,Missing,Move,Vehicle,0,59227.0,0.1593947882162992,0.0447242739170684,0.4588,0.3867777592081929,0.0906207347984735,2426.6245194104645,532.419,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02281,2017,DE,Gun,Shoot,Not Fleeing,0,66647.0,0.1412712361948579,0.0585478798514919,0.49,0.3519068274508482,0.0761745740783472,1313.0262843096325,426.338,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02282,2017,SD,Gun,Point,Not Fleeing,0,52245.0,0.1404325965278436,0.0419549484189478,0.4474,0.2955272438964376,0.0647811466221942,38.93955736261441,2776.765,1,"Lower-income rural, older/White-composition profile"
Incident record 02283,2017,GA,Gun,Shoot,Not Fleeing,0,65037.0,0.1416882177501659,0.0587427657762561,0.5479,0.5124374855134186,0.0750401358290306,1976.772393371676,526.83,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02284,2017,CA,Gun,Attack,Not Fleeing,0,46494.0,0.2047909114690384,0.0629756615058194,0.4797,0.3364868818882278,0.0842138344332824,38.327656988854336,3568.024,1,"Lower-income rural, older/White-composition profile"
Incident record 02285,2017,TX,Unarmed,Unclear Threat,Not Fleeing,1,56718.0,0.1486592835990426,0.0499652129867634,0.4931,0.3056578984266809,0.2057116570237307,2998.4745063905816,873.16,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02286,2017,HI,Other,Threat,Not Fleeing,0,57545.0,0.1503581283986689,0.0552688126738013,0.465,0.3073248631688545,0.0682819073347121,49.74169844289253,4028.431,1,"Lower-income rural, older/White-composition profile"
Incident record 02287,2017,VA,Gun,Point,Not Fleeing,0,49716.0,0.1756145745750454,0.0654895027106776,0.4496,0.2534067446662078,0.0996128699242945,2599.9768102498697,68.996,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02288,2017,NM,Missing,Attack,Not Fleeing,1,58821.0,0.1177588623389054,0.0427757839455706,0.483,0.4034202588744667,0.0937038613780672,77.86408986693746,1910.38,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02289,2017,OK,Gun,Shoot,Not Fleeing,0,34250.0,0.2364407821916123,0.0569346390343885,0.4558,0.1354228810059198,0.1813592767656371,17.844349037325845,1850.782,1,"Lower-income rural, older/White-composition profile"
Incident record 02290,2017,CA,Gun,Shoot,Not Fleeing,0,76207.0,0.1180781373880222,0.0585032002155098,0.4624,0.3878470350106508,0.1241194304250598,792.7122961803241,4210.462,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02291,2017,MI,Gun,Shoot,Not Fleeing,0,45135.0,0.226624761087919,0.0933351205379321,0.4975,0.2335001517684191,0.1324866431108552,2866.1349372384934,611.84,0,"Dense urban, higher-Black-composition firearm profile"
Incident record 02292,2017,TX,Gun,Point,Not Fleeing,0,76811.0,0.0876230425548789,0.0482261466301507,0.4802,0.3314360067254249,0.1123804577144264,547.827196671589,1042.179,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02293,2017,TX,Knife,Attack,Not Fleeing,0,56718.0,0.1486592835990426,0.0499652129867634,0.4931,0.3056578984266809,0.2057116570237307,2998.4745063905816,873.16,2,"Higher-Hispanic-composition, younger/large-area profile"
Incident record 02294,2017,TX,Gun,Threat,Not Fleeing,0,72884.0,0.1168674888903468,0.034113565647237,0.478,0.4945340010305141,0.0966641259981621,1233.7141322702207,994.313,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02295,2017,CA,Knife,Attack,Not Fleeing,0,119035.0,0.0740465892397922,0.0401928376744238,0.4589,0.5168083385962837,0.1152760947494724,1501.1827270727542,1291.084,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02296,2017,CA,Gun,Point,Not Fleeing,0,119035.0,0.0740465892397922,0.0401928376744238,0.4589,0.5168083385962837,0.1152760947494724,1501.1827270727542,1291.084,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02297,2017,MI,Gun,Shoot,Not Fleeing,1,61125.0,0.1020782108168706,0.0399777409965184,0.4367,0.3654614725967472,0.0919912182671242,764.0126229340193,848.931,3,"Higher-income, lower-deprivation incident-context profile"
Incident record 02298,2017,GA,Gun,Shoot,Not Fleeing,0,84861.0,0.0630626517904424,0.0553983754677375,0.42,0.4669637928016481,0.0506416039425316,566.5579496134981,194.695,3,"Higher-income, lower-deprivation incident-context profile"
