cluster,descriptive_profile,incidents,share_pct,median_income,poverty_rate,unemployment_rate,gini_index,bachelor_plus_rate,less_than_highschool_rate,black_pct,hispanic_pct,youth_pct,population_density,land_area_sqmi,was_mental_illness_related,body_camera,black_incident_pct,white_incident_pct,hispanic_incident_pct,gun_pct,knife_pct,shoot_threat_pct,not_fleeing_pct,young_adult_pct,middle_age_pct,senior_pct,mental_illness_pct,body_camera_pct,county_black_pct,county_hispanic_pct,poverty_pct,unemployment_pct,bachelor_plus_pct,less_than_highschool_pct
0,"Dense urban, higher-Black-composition firearm profile",1974,18.98259448023849,58479.83485309017,0.1687714042937648,0.0609452170623214,0.4903085106382979,0.3489630657882542,0.1119604874346906,0.3029033697733224,0.120953325064643,0.2219849598620908,3957.5782910687553,520.8089994934144,0.1950354609929078,0.2082066869300911,55.26849037487336,29.63525835866261,5.724417426545086,63.0192502532928,14.893617021276595,31.91489361702128,54.86322188449848,33.43465045592705,15.602836879432624,6.180344478216818,19.50354609929078,20.82066869300912,30.290336977332245,12.095332506464304,16.877140429376485,6.094521706232147,34.896306578825424,11.196048743469069
1,"Lower-income rural, older/White-composition profile",2793,26.85835176459275,50768.380594343,0.1676005314018632,0.0646338513538551,0.4492972073039742,0.2018474757166104,0.1332642570639116,0.0813194700879715,0.0895340191224874,0.2219450267943225,134.87022111552255,1770.5536226279987,0.1947726459004654,0.0898675259577515,13.283208020050123,65.84317937701397,6.086645184389545,60.40100250626567,14.070891514500536,29.53813104189044,54.7798066595059,21.732903687790905,24.740422484783387,8.306480486931616,19.477264590046545,8.986752595775153,8.131947008797157,8.953401912248742,16.760053140186322,6.463385135385511,20.18474757166104,13.326425706391165
2,"Higher-Hispanic-composition, younger/large-area profile",2126,20.444273487835368,63637.92756349953,0.1583277285678845,0.0635113908089602,0.4732183443085606,0.2768445506801603,0.1848562254296896,0.0772880265578013,0.4961970002235125,0.2455991723051361,1101.0557783803265,5100.5523565381,0.1693320790216368,0.1735653809971778,16.039510818438384,26.1994355597366,44.637817497648165,52.39887111947319,19.47318908748824,24.129821260583256,53.10442144873001,30.90310442144873,17.168391345249294,4.280338664158044,16.933207902163687,17.35653809971778,7.7288026557801315,49.619700022351246,15.832772856788456,6.35113908089602,27.684455068016035,18.48562254296896
3,"Higher-income, lower-deprivation incident-context profile",3506,33.7147802673334,82114.66543069025,0.0986266484671421,0.0422734037702342,0.4476400456360525,0.3898153920414351,0.0831247835889895,0.0752799456374383,0.1630544213072458,0.2198742018729559,1048.1666504597615,1386.517828579578,0.2170564746149458,0.2181973759269823,19.13861950941244,47.66115231032516,13.719338277239018,56.3034797490017,19.081574443810613,26.896748431260697,51.96805476326298,26.49743297204792,19.566457501426125,5.818596691386195,21.705647461494586,21.81973759269823,7.527994563743837,16.305442130724586,9.86266484671421,4.22734037702342,38.98153920414351,8.312478358898952
