variant,algorithm,configuration,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,eligible,initialization_stability_ari_mean,initialization_stability_nmi_mean,ahc_subsample_stability_ari_mean,ahc_subsample_stability_nmi_mean,cluster_persistence,min_cluster_size,min_samples,cluster_selection_method,relative_validity_dbcv
time_sensitivity,KMeans,k=4,4.0,4,0.0,0.1846331378017117,0.1461509354560838,1.8703786301188892,1569.8443541770698,True,0.9997182376940952,0.9992246721849808,,,,,,,
time_sensitivity,KMeans,k=5,5.0,5,0.0,0.1129916338109433,0.1305386827854603,1.8739813828382768,1426.025987018441,True,0.9916013846990692,0.9856141730309552,,,,,,,
time_sensitivity,KMeans,k=6,6.0,6,0.0,0.0599096066929512,0.1291960339330727,1.864856570729672,1298.307654876026,True,0.9814842217578964,0.9772418899343752,,,,,,,
time_sensitivity,KMeans,k=7,7.0,7,0.0,0.0606789114337917,0.1190501627642099,1.9306894870870557,1191.0343962000106,True,0.9854205847059728,0.98096846756225,,,,,,,
time_sensitivity,KMeans,k=8,8.0,8,0.0,0.0592364650447158,0.1136984212653026,2.018604265131906,1096.6742802032356,True,0.9423091569743464,0.9384726255557616,,,,,,,
time_sensitivity,KMeans,k=9,9.0,9,0.0,0.0568323877295893,0.1100217015128385,2.00971555325522,1023.560571194586,True,0.8364575747773675,0.8791601812187769,,,,,,,
time_sensitivity,KMeans,k=10,10.0,10,0.0,0.0557745937109337,0.1072206854535261,2.048829515267708,966.8786336299496,True,0.9674095430850423,0.9693571950429372,,,,,,,
time_sensitivity,AHC,k=2,2.0,2,0.0,0.4688912395422637,0.1155203544823947,2.599064312353128,1433.3419644340192,True,,,0.2591482748039224,0.2457070596745121,,,,,
time_sensitivity,AHC,k=3,3.0,3,0.0,0.2213674391768439,0.1201685430730799,2.216386903926075,1319.1139696809164,True,,,0.4669413744313825,0.4955454386660102,,,,,
time_sensitivity,AHC,k=4,4.0,4,0.0,0.2213674391768439,0.0995821064914406,2.3172448583396874,1216.54915721295,True,,,0.4026257498787092,0.4714357398012202,,,,,
time_sensitivity,AHC,k=5,5.0,5,0.0,0.0534666794884123,0.0933028236617718,2.143756803555717,1080.4317108906785,True,,,0.4126812137485949,0.4882310509185172,,,,,
time_sensitivity,AHC,k=6,6.0,6,0.0,0.0534666794884123,0.0933979616652606,2.121782989085032,1010.6015299610468,True,,,0.3684924204708305,0.5071558031855654,,,,,
time_sensitivity,AHC,k=7,7.0,7,0.0,0.0391383786902586,0.0930666962801745,2.17028933627796,945.8456459022112,True,,,0.3617566886472673,0.4988065927744595,,,,,
time_sensitivity,AHC,k=8,8.0,8,0.0,0.0391383786902586,0.0899600442762863,2.0943022693256825,904.5853788696515,True,,,0.3728241088706198,0.5269126167789138,,,,,
time_sensitivity,AHC,k=9,9.0,9,0.0,0.0391383786902586,0.078135092969079,2.241823491895105,850.7625899256273,True,,,0.3689569154887654,0.5292468464861508,,,,,
time_sensitivity,AHC,k=10,10.0,10,0.0,0.0391383786902586,0.0662736044292059,2.213983384465196,797.9173252393255,True,,,0.3590789756173018,0.5439442688725069,,,,,
time_sensitivity,HDBSCAN,mcs=50;ms=5;method=eom,,5,0.5740936628521973,0.0048081546302529,0.0822046787218128,1.5174916071619984,190.5945145848817,False,,,,,0.0539967323654276,50.0,5.0,eom,0.0001135525322928
time_sensitivity,HDBSCAN,mcs=50;ms=5;method=leaf,,9,0.8762380998172902,0.0048081546302529,0.232354828945098,1.5692100857410267,219.82723733188655,False,,,,,0.045814616401641,50.0,5.0,leaf,0.0087833972688944
time_sensitivity,HDBSCAN,mcs=50;ms=10;method=eom,,2,0.7282431002981056,0.0350995288008462,0.1270515992965145,1.631869549750406,340.66997645920515,False,,,,,0.0901342746524993,50.0,10.0,eom,0.0001591768283576
time_sensitivity,HDBSCAN,mcs=50;ms=10;method=leaf,,5,0.8915280315414944,0.0059621117415136,0.2152883760317753,1.630095351387147,229.7510955777076,False,,,,,0.0584377256518113,50.0,10.0,leaf,0.006544100278812
time_sensitivity,HDBSCAN,mcs=50;ms=25;method=eom,,4,0.9068179632656986,0.0121165496682373,0.2310415330862935,1.611898860344113,269.893534578251,False,,,,,0.0534981194121852,50.0,25.0,eom,0.0001871177366219
time_sensitivity,HDBSCAN,mcs=50;ms=25;method=leaf,,4,0.9068179632656986,0.0121165496682373,0.2310415330862935,1.611898860344113,269.893534578251,False,,,,,0.0534981194121852,50.0,25.0,leaf,0.0001871177366219
time_sensitivity,HDBSCAN,mcs=50;ms=50;method=eom,,3,0.9337436291951148,0.014905279353784,0.2911982954258016,1.3323751802135633,299.99698722812536,False,,,,,0.0440665251756563,50.0,50.0,eom,0.0276789092027644
