variant,algorithm,configuration,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,eligible,initialization_stability_ari_mean,initialization_stability_nmi_mean,ahc_subsample_stability_ari_mean,ahc_subsample_stability_nmi_mean,cluster_persistence,min_cluster_size,min_samples,cluster_selection_method,relative_validity_dbcv,rank_silhouette,rank_davies_bouldin,rank_calinski_harabasz,rank_min_cluster_share,rank_noise_share,average_rank,selection_level,validity_violations,resample_ari_mean,resample_ari_sd,resample_nmi_mean,resample_nmi_sd,common_nonnoise_n_mean,common_nonnoise_ari_mean,common_nonnoise_ari_sd,common_nonnoise_nmi_mean,common_nonnoise_nmi_sd,resample_noise_share_mean
primary,KMeans,k=4,4.0,4,0.0,0.1898259448023848,0.1599946500506895,1.7489280336577386,1752.3889515363396,True,0.9981027210330822,0.996267108515252,,,,,,,,2.0,2.0,3.0,3.0,1.0,2.2,eligible_within_algorithm,,0.9854807742966551,0.0094418702554938,0.97616897722454,0.0129761325828072,8319.0,0.9854807742966551,0.0094418702554938,0.97616897722454,0.0129761325828072,0.0
primary,AHC,k=4,4.0,4,0.0,0.1082796422732955,0.1276654015946672,1.9882422046973147,1437.7671321620082,True,,,0.4458178408130092,0.5145886182618052,,,,,,2.0,3.0,3.0,3.0,1.0,2.4,eligible_within_algorithm,,0.4731309019366597,0.1039951631707247,0.5116677613686939,0.0623942250071282,8319.0,0.4731309019366597,0.1039951631707247,0.5116677613686939,0.0623942250071282,0.0
primary,HDBSCAN,mcs=50;ms=5;method=eom,,2,0.3024329262429079,0.0114434080200019,0.2726710765659351,1.0758638536828675,270.7519325748274,False,,,,,0.0495453845493463,50.0,5.0,eom,0.0001180376143314,,,,,,,best_diagnostic_rejected_by_validity_rules,1.0,0.4166039899467697,0.3276835499761397,0.4940331049628889,0.2080478888829629,4358.8,0.4184308672990483,0.3600358350704676,0.4930891944957368,0.3101524936621685,0.4746123332131265
time_sensitivity,KMeans,k=4,4.0,4,0.0,0.1846331378017117,0.1461509354560838,1.8703786301188892,1569.8443541770698,True,0.9997182376940952,0.9992246721849808,,,,,,,,3.0,2.0,3.0,3.0,1.0,2.4,eligible_within_algorithm,,0.9713883268421272,0.0259167174838086,0.9589465043491412,0.0311048088204377,8319.0,0.9713883268421272,0.0259167174838086,0.9589465043491412,0.0311048088204377,0.0
time_sensitivity,AHC,k=3,3.0,3,0.0,0.2213674391768439,0.1201685430730799,2.216386903926075,1319.1139696809164,True,,,0.4669413744313825,0.4955454386660102,,,,,,1.0,6.0,2.0,2.0,1.0,2.4,eligible_within_algorithm,,0.49314669692994,0.0981034517194191,0.5145148959840938,0.0491032075996636,8319.0,0.49314669692994,0.0981034517194191,0.5145148959840938,0.0491032075996636,0.0
time_sensitivity,HDBSCAN,mcs=100;ms=5;method=eom,,2,0.5377440138474854,0.0421194345610154,0.116031920759178,1.6716698174928235,400.1831468645239,False,,,,,0.112601348884458,100.0,5.0,eom,4.575068225964439e-05,,,,,,,best_diagnostic_rejected_by_validity_rules,1.0,0.7080652997378559,0.1048813021527771,0.6968663376952112,0.0762534676837609,3221.6,0.8039942753333825,0.2598337125843512,0.8531553509817869,0.1923464676723059,0.6099651400408703
