algorithm,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,min_cluster_count,max_cluster_count,cluster_size_cv,boundary_cut_ratio,labels_connected,connected_components_across_labels,eligible,error,smoothing_agreement_ari_mean,smoothing_agreement_nmi_mean
SCHC,2,2,0.0,0.3633471205854279,0.0768952261615919,3.4170025526958625,203.69132824248013,1142,2001,0.2733057588291441,0.0370250780325045,True,2,True,,0.4930494642583369,0.4037565646043761
SCHC,3,3,0.0,0.0556792873051225,0.0866452106537858,2.87791110185596,178.3316982670334,175,1826,0.6464943026842964,0.0583360241093531,True,3,True,,0.6437472549362235,0.5645580099168223
SCHC,4,4,0.0,0.0556792873051225,0.0414272192138605,3.3721772917846145,149.48436942886968,175,1142,0.4745183190580395,0.0689914971477774,True,4,True,,0.5618460393044042,0.5786439812637925
SCHC,5,5,0.0,0.0556792873051225,0.031528535637846,3.739809468683815,127.08945357141326,175,1022,0.4639656855405534,0.0887956086535356,True,5,True,,0.4944477559678788,0.5695371494314806
SCHC,6,6,0.0,0.0556792873051225,0.0067288751066733,3.8825727753329016,111.60841342673037,175,1022,0.5450804848875646,0.0945000538155204,True,6,True,,0.5805722766088619,0.6357436943933639
SCHC,7,7,0.0,0.0003181673560292,0.0073533084280581,3.353823517357796,99.53296630755466,1,1022,0.7162761991182023,0.0952534711010655,True,7,False,,0.4625598820165181,0.6072908779784398
SCHC,8,8,0.0,0.0003181673560292,0.0051404902961118,3.475003344090685,89.96966163578152,1,877,0.7233493380187881,0.096222150468195,True,8,False,,0.5155164809197667,0.652604966276263
SCHC,9,9,0.0,0.0003181673560292,-0.0184485991040803,3.5954436336338285,83.31434520770954,1,688,0.6124375328522346,0.1025723818749327,True,9,False,,0.5910560538519233,0.7038331000944493
SCHC,10,10,0.0,0.0003181673560292,-0.0163414872018142,3.565636864686178,77.68677395603599,1,688,0.7159897389926243,0.1048326337315681,True,10,False,,0.5735247075697891,0.6979249833581719
SKATER,2,2,0.0,0.4915685650652243,0.0596941669633498,3.981652695777021,163.1102726869131,1545,1598,0.0168628698695513,0.0165751802819933,True,2,True,,0.489687893397881,0.5102025676494961
SKATER,3,3,0.0,0.1705377028316894,0.0445990637051277,4.1755848441238985,124.68659987935736,536,1598,0.4146556883367868,0.0321816811968571,True,3,True,,0.7472067715453813,0.742613847624644
SKATER,4,4,0.0,0.0890868596881959,0.0406991148023795,3.86484016810274,109.618719667876,280,1318,0.5135377842042593,0.0391776988483478,True,4,True,,0.8728335128695768,0.8394301199060107
SKATER,5,5,0.0,0.0890868596881959,0.0300261331264987,3.820913272295904,97.52020880529152,280,1318,0.5880913696613337,0.0487568614788505,True,5,True,,0.7181107189875706,0.7879112899908336
SKATER,6,6,0.0,0.0890868596881959,0.008301445594575,4.286549742606157,86.01867991857912,280,903,0.3997429387988355,0.0568291895382628,True,6,True,,0.7668328170099663,0.8086407096650641
SKATER,7,7,0.0,0.0155902004454342,0.0038037652075558,4.393570430085677,79.11810273161392,49,854,0.5420223475621823,0.0588741793133139,True,7,True,,0.7946895481547149,0.8228597354908891
SKATER,8,8,0.0,0.0139993636652879,0.004900897149496,4.211376682478917,72.32281297829647,44,854,0.6724398385222748,0.0619954794962867,True,8,True,,0.7743212352736344,0.8046885252988059
SKATER,9,9,0.0,0.011772192173083,0.0065804977946435,4.233000178968741,65.80685712630324,37,854,0.7746321240763849,0.0638252071897535,True,9,True,,0.7722525536295803,0.8008315231331806
SKATER,10,10,0.0,0.011772192173083,0.0077555531934823,4.075538804475425,62.30114439802322,37,854,0.8655883700353715,0.0689914971477774,True,10,True,,0.7763086339499603,0.8053526072493764
