algorithm,k,n_clusters,noise_share,min_cluster_share,silhouette,davies_bouldin,calinski_harabasz,min_cluster_count,max_cluster_count,cluster_size_cv,boundary_cut_ratio,labels_connected,connected_components_across_labels,resample_ari_mean,resample_ari_sd,resample_nmi_mean,resample_nmi_sd,eligible,eligibility_note
County_KMeans,2,2,0.0,0.3824371619471842,0.1269571628424389,2.6375311866015947,360.4587678126463,1202,1941,0.2351256761056315,0.233021203315036,False,166,0.9812980487763704,0.0151585755776467,0.9608607358060844,0.0270128574837149,True,minimum 25 counties; connectedness descriptive only
County_KMeans,3,3,0.0,0.1667196945593382,0.12281906848712,2.609282876605388,286.1028598358897,524,1670,0.4515042537715752,0.3264449467226348,False,278,0.963937729724579,0.0158769311411137,0.9409222494945192,0.0195618398069081,True,minimum 25 counties; connectedness descriptive only
County_KMeans,4,4,0.0,0.0773146675151129,0.1286855046191335,2.3721407897498583,261.22818798420667,243,1632,0.6651706154582544,0.3372080508018512,False,310,0.9419362921902544,0.035498435196106,0.9167677681470676,0.0396267561221835,True,minimum 25 counties; connectedness descriptive only
County_KMeans,5,5,0.0,0.0801781737193764,0.0666586709979597,2.558802329517494,230.2893603842391,252,1048,0.5075877307815849,0.3947906576256592,False,417,0.9397588275194864,0.0256945579207673,0.9263572145813208,0.0236561199567133,True,minimum 25 counties; connectedness descriptive only
County_KMeans,6,6,0.0,0.0146356983773464,0.0751702620270724,2.3833068771631747,201.5510231964405,46,1098,0.7188622997587268,0.399203530298138,False,414,0.8682122804574955,0.0766134225823116,0.8484625064104024,0.0847803853772066,True,minimum 25 counties; connectedness descriptive only
County_KMeans,7,7,0.0,0.0143175310213172,0.0726651164047819,2.5002485448675253,181.93116375070184,45,1016,0.7881813951748043,0.435259928963513,False,518,0.7686031027539706,0.1588125134403155,0.7849099814795707,0.0996101353108833,True,minimum 25 counties; connectedness descriptive only
County_KMeans,8,8,0.0,0.0146356983773464,0.0777999238484837,2.417901737980978,168.76474096965302,46,1057,0.8760916527004147,0.4687331826498762,False,617,0.7383127615116246,0.1676177476012142,0.7930744322982194,0.0955467544514745,True,minimum 25 counties; connectedness descriptive only
County_KMeans,9,9,0.0,0.0136811963092586,0.0508867265833403,2.517619761289403,156.9397910772872,43,842,0.7349836713426636,0.5004843396835648,False,634,0.6907412274388586,0.1163486697397367,0.7413089794389144,0.0596505146960035,True,minimum 25 counties; connectedness descriptive only
County_KMeans,10,10,0.0,0.0139993636652879,0.0421557373633888,2.5324414866762623,147.96372456427588,44,742,0.6753098196788173,0.5428909697556775,False,797,0.6150889883009725,0.0696655678277548,0.7108207216877406,0.0450290027479068,True,minimum 25 counties; connectedness descriptive only
County_AHC,2,2,0.0,0.1839007317849188,0.1018898972979258,2.9889530247993945,179.06806113899552,578,2565,0.6321985364301622,0.1801743622860833,False,111,0.4899218620696876,0.2692377091404074,0.3724441219772995,0.1688372987584861,True,minimum 25 counties; connectedness descriptive only
County_AHC,3,3,0.0,0.1625835189309576,0.0954056630529719,3.08494454333638,174.95490950351197,511,2054,0.6797110731952019,0.3397911957808632,False,318,0.4707476218387644,0.1542337949620188,0.3941429826737826,0.1167015172955438,True,minimum 25 counties; connectedness descriptive only
County_AHC,4,4,0.0,0.0839961819917276,0.0888420903055838,2.6400343212989807,172.33907703402951,264,2054,0.9392603746542916,0.3432353890862125,False,337,0.5140998419041973,0.1260020109234159,0.4586430512318696,0.0819990582652478,True,minimum 25 counties; connectedness descriptive only
County_AHC,5,5,0.0,0.0839961819917276,0.0316656112072915,3.073680098999001,159.10229987640835,264,1177,0.5548263987845881,0.501991174254655,False,569,0.4278753939663334,0.1160954277024632,0.4749099139961037,0.0787434172743111,True,minimum 25 counties; connectedness descriptive only
County_AHC,6,6,0.0,0.0222717149220489,0.0345909435656329,2.8926354571684527,143.8660240854776,70,1107,0.6893958320226716,0.5120008610483263,False,609,0.4375130255847295,0.1114755623377603,0.4997381167894457,0.068810971981267,True,minimum 25 counties; connectedness descriptive only
County_AHC,7,7,0.0,0.0222717149220489,0.0384029592977221,2.788071272807492,132.27159932232112,70,1001,0.7554919879558615,0.5399849316542891,False,718,0.4108189882734289,0.1182829025426291,0.4984242859108024,0.0670187454234725,True,minimum 25 counties; connectedness descriptive only
County_AHC,8,8,0.0,0.0222717149220489,0.0316406397317282,3.085028415820529,123.09131690914904,70,877,0.6791172468551794,0.5911096760305672,False,909,0.3759235798013414,0.0984297466258916,0.4908612617819755,0.0531875979897187,True,minimum 25 counties; connectedness descriptive only
County_AHC,9,9,0.0,0.0222717149220489,0.0369837411773455,3.170023954698024,116.25180827094944,70,877,0.7305486936624577,0.6161877085351415,False,1006,0.3874433487237491,0.0959796039974994,0.5062050575069571,0.0533963987597077,True,minimum 25 counties; connectedness descriptive only
County_AHC,10,10,0.0,0.001272669424117,0.0383994040397922,2.929819907764844,110.27159059765007,4,877,0.8382354944761172,0.6170487568614789,False,1011,0.3966615947163621,0.100327950061847,0.5197529088952463,0.0522484997153782,False,minimum 25 counties; connectedness descriptive only
